SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,BUYER_AGENCY_COMPENSATION,NUM_STORIES,REDFIN_ESTIMATE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
MLS Listing,,Single Family Residential,1 Krzich Pl,Cupertino,CA,95014,5200000,5.0,4.5,CUPERTINO,3721.0,12009.0,2023.0,29,1397.0,,Active,,,https://www.redfin.com/CA/Cupertino/1-Krzich-Pl-95014/home/187300556,MLSListings,ML81940514,N,Y,37.3059707,-122.0495389,NA,NA,NA,1397.0,36767.0,35,Somewhat bikeable,22,Car-dependent,24,Minimal transit,NA,NA,NA,NA,"Places5 groceries, 27 restaurants, 8 parksTransit23, 25, 51, 51H, 53, 55, 56, Rapid 523","Sep 1, 2023",Listed (Active)MLSListings #ML81940514,5200000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/1-Krzich-Pl-95014/home/187300556,Attached Garage,2.0,,Dining Area in Family Room,,,Central Forced Air,Heat Pump,Public Utilities,,,,2.5,2.0,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,0 Krzich Pl,Cupertino,CA,95014,4800000,5.0,4.5,CUPERTINO,3849.0,9699.0,2023.0,29,1247.0,,Active,,,https://www.redfin.com/CA/Cupertino/Krzich-Pl-95014/home/187300341,MLSListings,ML81940512,N,Y,37.3059707,-122.0495389,NA,NA,NA,1247.0,33939.0,35,Somewhat bikeable,22,Car-dependent,24,Minimal transit,NA,NA,NA,NA,"Places5 groceries, 27 restaurants, 8 parksTransit23, 25, 51, 51H, 53, 55, 56, Rapid 523","Sep 1, 2023",Listed (Active)MLSListings #ML81940512,4800000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/Krzich-Pl-95014/home/187300341,Attached Garage,2.0,,Dining Area in Family Room,,,Central Forced Air,Heat Pump,Public Utilities,,,,2.5,1.0,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,11226 Bubb Rd,Cupertino,CA,95014,4700000,5.0,4.5,CUPERTINO,3727.0,9747.0,2023.0,29,1261.0,,Active,,,https://www.redfin.com/CA/Cupertino/11226-Bubb-Rd-95014/home/1614198,MLSListings,ML81940487,N,Y,37.3055292,-122.0500517,9,9,10,1261.0,33232.0,37,Somewhat bikeable,24,Car-dependent,17,Minimal transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 26 restaurants, 8 parksTransit23, 25, 51, 51H, 53, 55, 56, Rapid 523","Sep 1, 2023",Listed (Active)MLSListings #ML81940487,4700000.0,"Apr 7, 2021",Pending (Pending (Do Not Show))MLSListings #ML81835217,NA,"Mar 21, 2021",Listed (Active)MLSListings #ML81835217,6800000.0,,,,https://www.redfin.com/CA/Cupertino/11226-Bubb-Rd-95014/home/1614198,Attached Garage,2.0,,Formal Dining Room,,Hardwood,Central Forced Air,Heat Pump,Public Utilities,,,,2.5,1.0,4766618.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,11387 Lindy Pl,Cupertino,CA,95014,3299000,5.0,3.0,CUPERTINO,3100.0,13296.0,1971.0,32,1064.0,,Active,September-30-2023 12:00 PM,September-30-2023 02:00 PM,https://www.redfin.com/CA/Cupertino/11387-Lindy-Pl-95014/home/1369587,MLSListings,ML81933393,N,Y,37.3025699,-122.0591085,9,9,10,1064.0,23326.0,2,Somewhat bikeable,9,Car-dependent,0,Minimal transit,Major,Moderate,Moderate,Minimal,"Places5 groceries, 19 restaurants, 14 parksTransit23, 25, 51, 51H, 53, 55, 56, Rapid 523","Sep 14, 2023",Relisted (Active)MLSListings #ML81933393,NA,"Jul 14, 2023",Pending (Pending (Do Not Show))MLSListings #ML81933393,NA,"Jul 13, 2023",Listing RemovedMLSListings #ML81933393,NA,"Jun 28, 2023",Listed (Active)MLSListings #ML81933393,3299000.0,https://www.redfin.com/CA/Cupertino/11387-Lindy-Pl-95014/home/1369587,Attached Garage,2.0,,Formal Dining Room,Washer/Dryer,,Central Forced Air,Forced Air,Public Utilities,,,,2.5,1.0,3285804.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,21685 Lomita Ave,Cupertino,CA,95014,2098000,3.0,2.0,CUPERTINO,1211.0,6387.0,1950.0,43,1732.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/21685-Lomita-Ave-95014/home/1466027,MLSListings,ML81938793,N,Y,37.3206311,-122.0538613,9,9,10,1732.0,14834.0,71,Very bikeable,70,Very walkable,41,Some transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 21 restaurants, 12 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523","Sep 28, 2023",Relisted (Active)MLSListings #ML81938793,NA,"Sep 23, 2023",ContingentMLSListings #ML81938793,NA,"Sep 22, 2023",Relisted (Active)MLSListings #ML81938793,NA,"Sep 21, 2023",Pending (Pending (Do Not Show))MLSListings #ML81938793,NA,https://www.redfin.com/CA/Cupertino/21685-Lomita-Ave-95014/home/1466027,Attached Garage,1.0,"Full on Ground Floor, Jack & Jill, Primary (Stall Shower(s)), Tile",Dining Area,"In Garage, Washer/Dryer","Hardwood, Tile",Window/Wall Unit,Wall Furnace,Public Utilities,,,,2.5,1.0,2116314.0,"Aug 17, 2023",Listed (Active)MLSListings #ML81938793,2098000.0,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,10682 Flora Vista Ave,Cupertino,CA,95014,4915000,5.0,5.5,CUPERTINO,3813.0,9681.0,2022.0,44,1289.0,,Active,,,https://www.redfin.com/CA/Cupertino/10682-Flora-Vista-Ave-95014/home/1683677,MLSListings,ML81938903,N,Y,37.332824,-122.042305,9,9,10,1289.0,34752.0,87,Very bikeable,63,Somewhat walkable,40,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 28 restaurants, 6 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523, School 255","Aug 17, 2023",Listed (Active)MLSListings #ML81938903,4915000.0,"Dec 17, 2021",Pending (Pending (Do Not Show))MLSListings #ML81872279,NA,"Dec 10, 2021",Listed (Active)MLSListings #ML81872279,2288000.0,,,,https://www.redfin.com/CA/Cupertino/10682-Flora-Vista-Ave-95014/home/1683677,Attached Garage,2.0,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), Stall Shower, Stone, Tile, Tub in Master Bedroom","Breakfast Bar, Dining Bar, Eat in Kitchen, Formal Dining Room","Inside, Upper Floor","Hardwood, Tile",Multi-Zone,Central Forced Air,Public Utilities,,,,2.5,2.0,4755487.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,21506 Dana Point Ln,Cupertino,CA,95014,1988960,3.0,3.0,CUPERTINO,1596.0,,2023.0,45,1246.0,440.0,Active,,,https://www.redfin.com/CA/Cupertino/21506-Dana-Point-Ln-95014/home/187382188,MLSListings,ML81938653,N,Y,37.3238635,-122.0474309,NA,NA,NA,1246.0,14503.0,82,Very bikeable,75,Very walkable,47,Some transit,NA,NA,NA,NA,"Places5 groceries, 25 restaurants, 6 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523, School 255","Aug 16, 2023",Listed (Active)MLSListings #ML81938653,1988960.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/21506-Dana-Point-Ln-95014/home/187382188,"Attached Garage, Tandem Parking",2.0,"Shower Over Tub, Stall Shower, Tile","Breakfast Bar, Dining Area in Family Room","Inside, Upper Floor","Carpet, Laminate, Tile",Central Forced Air,Central Forced Air,Public Utilities,"Garbage, Insurance, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Reserves",Monthly,Boardwalk Investments,2.0,3.0,1977236.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,18811-813 Loree Ave,Cupertino,CA,95014,3798000,6.0,5.0,CUPERTINO,2665.0,5379.0,2023.0,59,1425.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/18811-Loree-Ave-95014/home/1035986,MLSListings,ML81936933,N,Y,37.3199631,-122.0010032,9,8,9,1425.0,26854.0,63,Bikeable,42,Car-dependent,42,Some transit,Minimal,Minimal,Moderate,Minimal,"Places1 grocery, 32 restaurants, 4 parksTransit23, 25, 53, 56, 57, Express 101, Rapid 523","Sep 28, 2023",Price ChangedMLSListings #ML81936933,3798000.0,"Aug 15, 2023",Price ChangedMLSListings #ML81936933,3900000.0,"Aug 2, 2023",Listed (Active)MLSListings #ML81936933,3698000.0,"Nov 3, 2020",Pending (Pending (Do Not Show))MLSListings #ML81810013,NA,https://www.redfin.com/CA/Cupertino/18811-Loree-Ave-95014/home/1035986,Attached Garage,2.0,Double Sinks,Dining Area in Family Room,"Electricity Hookup (220V), In Utility Room, Inside","Hardwood, Tile","Central Forced Air, Multi-Zone","Electric, Heat Pump, Heating (2+ Zones), Solar",Public Utilities,,,,2.5,2.0,,"Oct 22, 2020",ContingentMLSListings #ML81810013,NA,"Oct 14, 2020",Price ChangedMLSListings #ML81810013,1598000.0,"Sep 9, 2020",Listed (Active)MLSListings #ML81810013,1648000.0,,,,,,,,,
MLS Listing,,Single Family Residential,10665 Clubhouse Ln,Cupertino,CA,95014,3700000,3.0,2.0,CUPERTINO,2604.0,10307.0,1981.0,65,1421.0,,Active,,,https://www.redfin.com/CA/Cupertino/10665-Club-House-Ln-95014/home/1581028,MLSListings,ML81936380,N,Y,37.3128598,-122.0656712,9,9,10,1421.0,26161.0,61,Bikeable,41,Car-dependent,0,Minimal transit,Major,Major,Moderate,Minimal,"Places7 groceries, 17 restaurants, 18 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523","Sep 24, 2023",Price ChangedMLSListings #ML81936380,3700000.0,"Jul 27, 2023",Listed (Active)MLSListings #ML81936380,3800000.0,,,,,,,https://www.redfin.com/CA/Cupertino/10665-Club-House-Ln-95014/home/1581028,Attached Garage,2.0,"Full on Ground Floor, Shower and Tub, Tile, Tub, Tub in Master Bedroom",Formal Dining Room,"Inside, Tub/Sink","Carpet, Laminate, Tile","Ceiling Fan, Central Forced Air","Central Forced Air, Fireplace",Public Utilities,,,,2.5,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1322-1323 Flower Ct,Cupertino,CA,95014,4090000,6.0,6.0,CUPERTINO,3083.0,10131.0,1960.0,88,1327.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/1322-Flower-Ct-95014/home/755914,MLSListings,ML81933842,N,Y,37.2992179,-122.0344305,9,9,10,1327.0,28919.0,76,Very bikeable,68,Somewhat walkable,24,Minimal transit,Minimal,Moderate,Moderate,Minimal,"Places3 groceries, 34 restaurants, 3 parksTransit23, 25, 51, 51H, 55, 56, Rapid 523","Aug 16, 2023",Price ChangedMLSListings #ML81933842,4090000.0,"Jul 4, 2023",Listed (Active)MLSListings #ML81933842,3890000.0,,,,,,,https://www.redfin.com/CA/Cupertino/1322-Flower-Ct-95014/home/755914,Attached Garage,2.0,"Double Sinks, Shower and Tub",Dining Area,Other (See Remarks),,Central Forced Air,Central Forced Air,Public Utilities,,,,2.5,1.0,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,16390 Stevens Canyon Rd,Cupertino,CA,95014,2500000,4.0,4.0,CUPERTINO,1192.0,1263240.0,1930.0,113,2097.0,,Active,,,https://www.redfin.com/CA/Cupertino/16390-Stevens-Canyon-Rd-95014/home/23049260,MLSListings,ML81931339,N,Y,37.2702976,-122.0988562,9,9,10,2097.0,17677.0,,,0,Car-dependent,,,Major,Moderate,Minor,Minimal,"Places1 grocery, 15 restaurants, 25 parksTransit23, 25, 26, 51, 51H, 53, 55, Rapid 523","Sep 23, 2023",Price ChangedMLSListings #ML81931400,2500000.0,"Sep 4, 2023",Price ChangedMLSListings #ML81931400,2988000.0,"Aug 12, 2023",Price ChangedMLSListings #ML81931400,3200000.0,"Jun 22, 2023",Price ChangedMLSListings #ML81931400,3800000.0,https://www.redfin.com/CA/Cupertino/16390-Stevens-Canyon-Rd-95014/home/23049260,"Electric Gate, Gate/Door Opener, No Garage, Parking Area, Room for Oversized Vehicle",,,Dining Area,,,Central Forced Air,Central Forced Air,Public Utilities,,,,2.5,2.0,2512501.0,"Jun 10, 2023",Listed (Active)MLSListings #ML81931400,4950000.0,"Sep 23, 2023",Price ChangedMLSListings #ML81931339,2500000.0,"Sep 4, 2023",Price ChangedMLSListings #ML81931339,2988000.0,"Aug 12, 2023",Price ChangedMLSListings #ML81931339,3200000.0,"Jun 22, 2023",Price ChangedMLSListings #ML81931339,3800000.0,"Jun 9, 2023",Listed (Active)MLSListings #ML81931339,4950000.0
MLS Listing,,Other,15101 Montebello Rd,Cupertino,CA,95014,1999888,0.0,,CUPERTINO,1.0,149885.0,1975.0,117,1999888.0,,Active,,,https://www.redfin.com/CA/Cupertino/15101-Montebello-Rd-95014/home/22517159,MLSListings,ML81930773,N,Y,37.2907289,-122.095195,9,9,10,1999888.0,14140.0,,,1,Car-dependent,,,Minimal,Moderate,Minor,Minimal,"Places3 groceries, 19 restaurants, 21 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523","Jun 5, 2023",Listed (Active)MLSListings #ML81930773,1999888.0,"Jun 5, 2023",Listed (Active)MLSListings #ML81930771,1999888.0,,,,,,,https://www.redfin.com/CA/Cupertino/15101-Montebello-Rd-95014/home/22517159,Other,,,Other (See Remarks),,,Other (See Remarks),Other (See Remarks),Public Utilities,,,,2.5,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Other,22702 San Juan Rd,Cupertino,CA,95014,7900000,,,CUPERTINO,,359282.0,,198,,,Active,,,https://www.redfin.com/CA/Cupertino/22702-San-Juan-Rd-95014/home/184725313,MLSListings,ML81915493,N,Y,37.3119854,-122.0724384,9,9,10,,55858.0,34,Somewhat bikeable,34,Car-dependent,0,Minimal transit,Minimal,Major,Moderate,Minimal,"Places6 groceries, 18 restaurants, 16 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523","Mar 16, 2023",Listed (Active)MLSListings #ML81915493,7900000.0,,,,,,,,,,https://www.redfin.com/CA/Cupertino/22702-San-Juan-Rd-95014/home/184725313,,,,,,,,,"Electricity (LESS than 500 feet away), Electricity (Not On Site), Gas (Available at Street), Gas (Not On Site)",,,,2.5,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,10146 Alpine Dr,Cupertino,CA,95014,5500000,8.0,8.0,CUPERTINO,4550.0,10897.0,1975.0,206,1209.0,,Active,,,https://www.redfin.com/CA/Cupertino/10146-Alpine-Dr-95014/home/182326651,MLSListings,ML81920880,N,Y,37.3254346,-122.0662113,9,9,10,1209.0,38888.0,44,Somewhat bikeable,38,Car-dependent,24,Minimal transit,Minimal,Major,Moderate,Minimal,"Places6 groceries, 17 restaurants, 15 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523","Mar 8, 2023",Listed (Active)MLSListings #ML81910943,5500000.0,"Mar 7, 2023",Listed (Active)MLSListings #ML81920880,5500000.0,,,,,,,https://www.redfin.com/CA/Cupertino/10146-Alpine-Dr-95014/home/182326651,"Attached Garage, Gate/Door Opener, Guest/Visitor Parking, On Street, Room for Oversized Vehicle",6.0,,Dining Area,Washer/Dryer,"Carpet, Hardwood, Tile","Ceiling Fan, Central Forced Air, Multi-Zone, Window/Wall Unit",Central Forced Air,"Generator, Individual Electric Meters, Individual Gas Meters",,,,2.5,2.0,5083201.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,17950 Stevens Canyon Rd,Cupertino,CA,95014,499000,2.0,1.0,CUPERTINO,850.0,19045.0,1920.0,333,587.0,,Active,,,https://www.redfin.com/CA/Cupertino/17950-Stevens-Canyon-Rd-95014/home/786334,MLSListings,ML81912007,N,Y,37.2826108,-122.1213535,9,9,10,587.0,3528.0,,,0,Car-dependent,,,Minimal,Moderate,Minor,Minimal,"Places5 groceries, 8 restaurants, 29 parksTransit23, 25, 35, 40, 51, 51H, 52, 53, 55, Rapid 523","Mar 29, 2023",Price ChangedMLSListings #ML81912007,499000.0,"Jan 12, 2023",Relisted (Active)MLSListings #ML81912007,NA,"Jan 12, 2023",ContingentMLSListings #ML81912007,NA,"Nov 1, 2022",Listed (Active)MLSListings #ML81912007,650000.0,https://www.redfin.com/CA/Cupertino/17950-Stevens-Canyon-Rd-95014/home/786334,No Garage,,,"Dining Area in Family Room, Dining Area in Living Room",,,,Other (See Remarks),Other (See Remarks),,,,2.5,,524645.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,10234 Scenic Blvd,Cupertino,CA,95014,6000000,,,CUPERTINO,,45447.0,,557,,,Active,,,https://www.redfin.com/CA/Cupertino/10234-Scenic-Blvd-95014/home/782329,MLSListings,ML81883420,N,Y,37.3196777,-122.0630817,9,9,10,,42424.0,49,Somewhat bikeable,48,Car-dependent,24,Minimal transit,Minimal,Moderate,Moderate,Minimal,"Places6 groceries, 19 restaurants, 15 parksTransit23, 25, 51, 51H, 53, 55, Rapid 523","Jun 27, 2023",Price ChangedMLSListings #ML81883420,6000000.0,"Nov 17, 2022",Price ChangedMLSListings #ML81883420,8088000.0,"Sep 23, 2022",Relisted (Active)MLSListings #ML81883420,NA,"Sep 23, 2022",Listing RemovedMLSListings #ML81883420,NA,https://www.redfin.com/CA/Cupertino/10234-Scenic-Blvd-95014/home/782329,,,,,,,,,Other (See Remarks),,,,2.5,,5961982.0,"Mar 22, 2022",Listed (Active)MLSListings #ML81883420,9000000.0,,,,,,,,,,,,,,,
